Vmix	Field
-4.140236E-06	-1.400000E-03
-4.350400E-06	-1.200000E-03
-4.350400E-06	-1.000000E-03
-4.203285E-06	-8.000000E-04
-4.098203E-06	-6.000000E-04
-4.196280E-06	-4.000000E-04
-4.175263E-06	-2.000000E-04
-2.732135E-06	1.400000E-01
-2.914278E-06	1.398000E-01
-2.774168E-06	1.396000E-01
-2.739141E-06	1.394000E-01
-2.928289E-06	1.392000E-01
-2.914278E-06	1.390000E-01
-2.781174E-06	1.388000E-01
-2.711119E-06	1.386000E-01
-2.802190E-06	1.384000E-01
-2.921283E-06	1.382000E-01
-2.942300E-06	1.380000E-01
-3.033371E-06	1.378000E-01
-2.851228E-06	1.376000E-01
-2.928289E-06	1.374000E-01
-2.858234E-06	1.372000E-01
-2.921283E-06	1.370000E-01
-3.047382E-06	1.368000E-01
-3.040376E-06	1.366000E-01
-3.145458E-06	1.364000E-01
-3.215513E-06	1.362000E-01
-3.523754E-06	1.360000E-01
-3.376639E-06	1.358000E-01
-3.264551E-06	1.356000E-01
-3.047382E-06	1.354000E-01
-3.131447E-06	1.352000E-01
-3.173480E-06	1.350000E-01
-2.963316E-06	1.348000E-01
-3.061393E-06	1.346000E-01
-2.921283E-06	1.344000E-01
-3.026365E-06	1.342000E-01
-3.131447E-06	1.340000E-01
-3.005349E-06	1.338000E-01
-3.026365E-06	1.336000E-01
-3.187491E-06	1.334000E-01
-3.215513E-06	1.332000E-01
-3.145458E-06	1.330000E-01
-3.082409E-06	1.328000E-01
-3.068398E-06	1.326000E-01
-3.208508E-06	1.324000E-01
-3.327601E-06	1.322000E-01
-3.117436E-06	1.320000E-01
-3.138453E-06	1.318000E-01
-3.208508E-06	1.316000E-01
-3.131447E-06	1.314000E-01
-2.809196E-06	1.312000E-01
-2.627053E-06	1.310000E-01
-2.578015E-06	1.308000E-01
-2.823206E-06	1.306000E-01
-2.893261E-06	1.304000E-01
-2.767163E-06	1.302000E-01
-2.711119E-06	1.300000E-01
-2.669086E-06	1.298000E-01
-2.872245E-06	1.296000E-01
-3.138453E-06	1.294000E-01
-2.949305E-06	1.292000E-01
-2.732135E-06	1.290000E-01
-2.795185E-06	1.288000E-01
-2.760157E-06	1.286000E-01
-2.991338E-06	1.284000E-01
-3.215513E-06	1.282000E-01
-2.984332E-06	1.280000E-01
-3.005349E-06	1.278000E-01
-3.033371E-06	1.276000E-01
-3.166475E-06	1.274000E-01
-3.250540E-06	1.272000E-01
-3.257546E-06	1.270000E-01
-2.949305E-06	1.268000E-01
-3.089415E-06	1.266000E-01
-3.145458E-06	1.264000E-01
-3.222519E-06	1.262000E-01
-3.159469E-06	1.260000E-01
-2.963316E-06	1.258000E-01
-2.942300E-06	1.256000E-01
-2.935294E-06	1.254000E-01
-3.110431E-06	1.252000E-01
-2.998343E-06	1.250000E-01
-3.089415E-06	1.248000E-01
-2.599031E-06	1.246000E-01
-2.521971E-06	1.244000E-01
-2.823206E-06	1.242000E-01
-2.921283E-06	1.240000E-01
-2.858234E-06	1.238000E-01
-2.690102E-06	1.236000E-01
